Clade,PL_point,PL_BSmin,PL_BSmax,UCLN_median,95%HPD_min,95%HPD_max
Vitales S,122.4,121.47,123.92,121.29,118.43,124.57
Vitales C,85.29,76.85,94.93,58,55.87,66.4
Vitaceae,122.4,121.47,123.92,121.29,118.43,124.57
ROSIDAE S,122.4,121.47,123.92,121.29,118.43,124.57
ROSIDAE C,118.8,117.57,120.13,118.58,115.44,122.72
MALVIDAE S,118.8,117.57,120.13,118.58,115.44,122.72
MALVIDAE C,118.35,116.89,119.91,116.99,113.16,121.7
Geraniales S,118.35,116.89,119.91,116.99,113.16,121.7
GeranialesC,111.86,109,114.48,102.39,83.53,115.23
Geraniaceae,111.86,109,114.48,102.39,83.53,115.23
Vivianaceae,98.78,92.67,104.49,77.17,47,105.1
Melianthaceae,60.9,51.41,70.24,33.01,7.88,68.35
Greyiaceae,60.9,51.41,70.24,33.01,7.88,68.35
Myrtales S,118.35,116.89,119.91,116.38,112.31,121.22
Myrtales C,95.96,93.69,99.54,96.64,91.02,102.77
Combretaceae,91.92,87.5,95.81,89.89,87.64,95
Lythraceae,70.6,70.6,71.85,72.64,70.75,77.64
Onagraceae,70.6,70.6,71.85,72.64,70.75,77.64
Penaeaceae,45.26,40.22,53.77,39.06,16.44,66.6
Crypteroniaceae,45.26,40.22,53.77,39.06,16.44,66.6
Melastomataceae,72.34,67.18,79.22,72.8,53.58,86.22
Vochysiaceae,86.38,83.5,89.85,85.64,83.61,90.5
Myrtaceae,86.38,83.5,89.85,85.64,83.61,90.5
Crossosomatales S,116.78,114.73,118.99,112.82,107.02,118.58
Crossosomatales C,107.89,104.27,111.91,84.63,54.42,115.31
Staphyleaceae,66.5,59.96,74.48,31.29,28.45,59.02
Guamatelaceae,57.48,48.43,66.4,25.99,14.26,53.85
Stachyuraceae,55.99,48.72,66.16,23.43,11.66,51.31
Crossosomataceae,55.99,48.72,66.16,23.43,11.66,51.31
Aphloiaceae,99.77,95.01,105.14,69.67,40.3,103.36
Geissolomataceae,83.14,74.37,94.2,51.63,24.64,84.7
Ixerbaceae,49.87,38.32,60.84,23.51,7.41,47.94
Strasburgeriaceae,49.87,38.32,60.84,23.51,7.41,47.94
Picramniales S,115.66,113.25,117.6,109.94,103.04,116.69
Picramniaceae,115.66,113.25,117.6,109.94,103.04,116.69
Sapindales S,111.45,109.64,113.91,104.26,98.26,112.2
Sapindales C,88.01,84.28,91.66,87.51,78.77,95.85
Biebersteiniaceae,88.01,84.28,91.66,87.51,78.77,95.85
Nitrariaceae,85.53,81.82,88.48,83.35,75.38,91.13
Burseraceae,73.63,69.37,78.37,51.56,48.68,65.01
Anacardiaceae,73.63,69.37,78.37,51.56,48.68,65.01
Sapindaceae,83.33,80.32,86.12,79.15,71.97,86.25
Meliaceae,68.08,66.74,71.63,69.28,66.38,73.69
Rutaceae,65.5,65.5,67.75,66.84,65.55,69.58
Simaroubaceae,65.5,65.5,67.75,66.84,65.55,69.58
Huerteales S,108.6,106.59,112.17,99.64,93.4,108.4
