TaxonID,Species
1000413,Acer_yangbiense
1000414,Nephelaphyllum_tenuiflorum
1000415,Amelanchier_ovalis
1000416,Calamagrostis_varia
1000418,Galeopsis_tetrahit
1000420,Linum_alpinum
1000422,Oxytropis_jacquinii
1000423,Pedicularis_ascendens
1000425,Pimpinella_major
1000426,Ranunculus_tuberosus
1000427,Sorbus_chamaemespilus
1000430,Teucrium_montanum
1000432,Trinia_glauca
1000433,Verbascum_lychnitis
1001068,Echinomastus_intertextus
1001070,Miqueliopuntia_miquelii
1001072,Pygmaeocereus_bylesianus
1001074,Weberbauerocereus_johnsonii
1001083,Monvillea_spegazzinii
1001085,Armatocereus_procerus
1001086,Cleistocactus_icosagonus
1001087,Cleistocactus_parviflorus
1001088,Cleistocactus_tupizensis
1001090,Copiapoa_cinerascens
1001091,Copiapoa_humilis
1001092,Corryocactus_aureus
1001096,Echinopsis_leucantha
1001097,Echinopsis_pachanoi
1001099,Echinopsis_sucrensis
1001100,Eriosyce_taltalensis
1001101,Espostoa_nana
1001102,Frailea_pumila
1001103,Haageocereus_decumbens
1001104,Haageocereus_limensis
1001105,Harrisia_martinii
1001106,Maihueniopsis_atacamensis
1001107,Matucana_madisoniorum
1001108,Melocactus_curvispinus
1001109,Melocactus_intortus
1001115,Opuntia_helleri
1001116,Opuntia_macbridei
1001117,Opuntia_megasperma
1001118,Opuntia_palmadora
1001121,Pterocactus_gonjianii
1001124,Quiabentia_chacoensis
1001127,Selenicereus_donkelaarii
1001131,Tephrocactus_alexanderi
1001133,Tunilla_corrugata
1001170,Hypericum_silenoides
100117,Picea_breweriana
100136,Leptolobium_panamense
100137,Aeschynomene_fascicularis
100139,Solori_robusta
100140,Brongniartia_alamosana
100143,Cyamopsis_senegalensis
100146,Galactia_striata
100148,Harpalyce_arborescens
100149,Indigofera_suffruticosa
100150,Lonchocarpus_lanceolatus
100151,Acmispon_americanus
1001529,Tripodanthus_belmirensis
100152,Millettia_leptobotrya
100153,Myrospermum_frutescens
1001547,Sternbergia_candida
1001548,Sternbergia_clusiana
1001549,Sternbergia_pulchella
1001550,Sternbergia_vernalis
100157,Ophrestia_radicosa
100158,Ormosia_formosana
100160,Ornithopus_compressus
100164,Philenoptera_eriocalyx
100165,Philenoptera_laxiflora
100168,Cullen_cinereum
100170,Pterocarpus_indicus
100171,Swartzia_simplex
100173,Vataireopsis_surinamensis
1001903,Silene_lydia
1001904,Silene_subconica
1002124,Clerodendrum_izuinsulare
1002523,Boehmeria_umbrosa
1002524,Pellionia_radicans
1002525,Pellionia_scabra
100275,Carex_anthoxanthea
100276,Carex_capillacea
100277,Carex_cephalophora
100278,Carex_elynoides
100279,Carex_grayi
100280,Carex_hakkodensis
100281,Carex_leptalea
100282,Carex_mertensii
100283,Carex_nigricans
100284,Carex_obtusata
100285,Carex_parva
100286,Carex_rupestris
1002880,Arabis_erikii
100290,Dulichium_arundinaceum
100291,Eriophorum_chamissonis
100292,Eriophorum_angustifolium
100295,Carex_pseudolaxa
100299,Carex_burkei
100300,Carex_killickii
100302,Scirpus_microcarpus
100307,Heuchera_americana
100308,Heuchera_chlorantha
100309,Heuchera_maxima
100310,Lithophragma_bolanderi
100311,Lithophragma_campanulatum
100312,Lithophragma_cymbalaria
100313,Lithophragma_glabrum
100314,Lithophragma_heterophyllum
100315,Lithophragma_maximum
100316,Lithophragma_parviflorum
100317,Lithophragma_tenellum
100318,Lithophragma_trifoliatum
100319,Mitella_acerina
100320,Mitella_furusei
100321,Mitella_japonica
100322,Mitella_pauciflora
100323,Mitella_yoshinagae
100324,Lithophragma_affine_subsp._mixtum
1003620,Garrya_lindheimeri
1003621,Holcoglossum_quasipinifolium
100364,Elodea_canadensis
100365,Orobanche_amethystea
1003828,Colocasia_heterochroma
1003829,Colocasia_yunnanensis
1003830,Pinellia_hunanensis
1003831,Colocasia_lihengiae
1003999,Coleonema_album
1004000,Elaeodendron_croceum
1004001,Salix_appenina
1004002,Salix_atrocinerea
1004054,Ceanothus_arcuatus
1004055,Ceanothus_bolensis
1004066,Ceanothus_microphyllus
1004067,Ceanothus_ochraceus
1004070,Ceanothus_otayensis
1004072,Ceanothus_pauciflorus
