Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
Ephedra intermedia var. tibetica,Ephedra,,intermedia,NA,var.,tibetica,,kew-332956,TRUE,1.1,Synonym,Ephedraceae,Ephedra,,intermedia,,,Schrenk & C.A.Mey.,kew-332952,Accepted,FALSE,FALSE,FALSE,2020-01-06
Ephedra equisetifolia,Ephedra,,equisetifolia,NA,NA,,,,FALSE,1.1,,,Ephedra,,equisetifolia,NA,,,,,FALSE,FALSE,FALSE,2020-01-06
Ephedra saxatilis var. mairei,Ephedra,,saxatilis,NA,var.,mairei,,kew-333035,TRUE,1.1,Synonym,Ephedraceae,Ephedra,,likiangensis,f.,mairei,(Florin) C.Y.Cheng,kew-332964,Accepted,FALSE,FALSE,FALSE,2020-01-06
Ephedra saxatilis var. sikkimensis,Ephedra,,saxatilis,NA,var.,sikkimensis,,kew-333036,TRUE,1.1,Synonym,Ephedraceae,Ephedra,,gerardiana,var.,sikkimensis,Stapf,kew-332940,Accepted,FALSE,FALSE,FALSE,2020-01-06
Ephedra major subsp. major,Ephedra,,major,NA,subsp.,major,,kew-340451,TRUE,1.1,Synonym,Ephedraceae,Ephedra,,major,,,Host,kew-332970,Accepted,FALSE,FALSE,FALSE,2020-01-06
Ephedra sinica var. pumila,Ephedra,,sinica,NA,var.,pumila,,kew-333041,FALSE,1.1,Accepted,Ephedraceae,Ephedra,,sinica,,,Stapf,kew-333041,Accepted,FALSE,FALSE,TRUE,2020-01-06
Ephedra altissima var. algerica,Ephedra,,altissima,NA,var.,algerica,,kew-332855,FALSE,1.1,Accepted,Ephedraceae,Ephedra,,altissima,,,Desf.,kew-332855,Accepted,FALSE,FALSE,TRUE,2020-01-06
Ephedra tweediana,Ephedra,,tweediana,NA,NA,,,kew-333058,TRUE,1.1,Accepted,Ephedraceae,Ephedra,,tweedieana,,,C.A.Mey.,kew-333058,Accepted,TRUE,FALSE,FALSE,2020-01-06
Cycas longipetiolula,Cycas,,longipetiolula,NA,NA,,,tro-50100073,TRUE,1.1,Synonym,Cycadaceae,Cycas,,multipinnata,,,C.J.Chen & S.Y.Yang,kew-2749609,Accepted,FALSE,FALSE,FALSE,2020-01-06
Cycas lanepoolei,Cycas,,lanepoolei,NA,NA,,,kew-2749579,TRUE,1.1,Accepted,Cycadaceae,Cycas,,lanepoolei,,,C.A.Gardner,kew-2749579,Accepted,FALSE,FALSE,FALSE,2020-01-06
Cycas x multifrondis,Cycas,×,multifrondis,NA,NA,,,kew-2749607,TRUE,1.1,Accepted,Cycadaceae,Cycas,×,multifrondis,,,D.Y.Wang,kew-2749607,Accepted,FALSE,FALSE,FALSE,2020-01-06
Cycas petraea,Cycas,,petraea,NA,NA,,,kew-2749624,TRUE,1.1,Accepted,Cycadaceae,Cycas,,petrae,,,A.Lindstr. & K.D.Hill,kew-2749624,Accepted,TRUE,FALSE,FALSE,2020-01-06
Cycas clivicola subsp. clivicola,Cycas,,clivicola,NA,subsp.,clivicola,,kew-2749537,TRUE,1.1,Accepted,Cycadaceae,Cycas,,clivicola,,,K.D.Hill,kew-2749537,Accepted,FALSE,FALSE,TRUE,2020-01-06
Ceratozamia tenuis,Ceratozamia,,tenuis,NA,NA,,,,FALSE,1.1,,,Ceratozamia,,tenuis,NA,,,,,FALSE,FALSE,FALSE,2020-01-06
Ceratozamia mexicana var. mexicana,Ceratozamia,,mexicana,NA,var.,mexicana,,tro-50130617,TRUE,1.1,Synonym,Zamiaceae,Ceratozamia,,mexicana,,,Brongn.,kew-2711335,Accepted,FALSE,FALSE,FALSE,2020-01-06
Zamia katzeriana,Zamia,,katzeriana,NA,NA,,,kew-2472560,TRUE,1.1,Synonym,Zamiaceae,Zamia,,verschaffeltii,,,Miq.,kew-2469605,Accepted,FALSE,FALSE,FALSE,2020-01-06
Pseudolarix chienii,Pseudolarix,,chienii,NA,NA,,,,FALSE,1.1,,,Pseudolarix,,chienii,NA,,,,,FALSE,FALSE,FALSE,2020-01-06
Pinus armandii,Pinus,,armandii,NA,NA,,,kew-2563175,TRUE,1.1,Accepted,Pinaceae,Pinus,,armandii,,,Franch.,kew-2563175,Accepted,FALSE,FALSE,FALSE,2020-01-06
Pinus armandii var. mastersiana,Pinus,,armandii,NA,var.,mastersiana,,kew-2871976,TRUE,1.1,Accepted,Pinaceae,Pinus,,armandii,var.,mastersiana,(Hayata) Hayata,kew-2871976,Accepted,FALSE,FALSE,FALSE,2020-01-06
Pinus armandii var. armandii,Pinus,,armandii,NA,var.,armandii,,tro-24901308,TRUE,1.1,Synonym,Pinaceae,Pinus,,armandii,,,Franch.,kew-2563175,Accepted,FALSE,FALSE,FALSE,2020-01-06
Pinus pentaphylla,Pinus,,pentaphylla,NA,NA,,,kew-2562528,TRUE,1.1,Synonym,Pinaceae,Pinus,,parviflora,var.,pentaphylla,(Mayr) A.Henry,kew-2872391,Accepted,FALSE,FALSE,FALSE,2020-01-06
Pinus kwangtungensis var. kwangtungensis,Pinus,,kwangtungensis,NA,var.,kwangtungensis,,kew-2561670,TRUE,1.1,Synonym,Pinaceae,Pinus,,fenzeliana,,,Hand.-Mazz.,kew-2562064,Accepted,FALSE,FALSE,TRUE,2020-01-06
Pinus ayacahuite var. ayacahuite,Pinus,,ayacahuite,NA,var.,ayacahuite,,tro-50155841,TRUE,1.1,Synonym,Pinaceae,Pinus,,ayacahuite,,,Ehrenb. ex Schltdl.,kew-2563157,Accepted,FALSE,FALSE,FALSE,2020-01-06
Pinus edulis var. fallax,Pinus,,edulis,NA,var.,fallax,,kew-2555451,TRUE,1.1,Synonym,Pinaceae,Pinus,,monophylla,,,Torr. & Frém.,kew-2562417,Accepted,FALSE,FALSE,FALSE,2020-01-06
Pinus x rigitaeda,Pinus,×,rigitaeda,NA,NA,,,kew-2575982,TRUE,1.1,Unresolved,Pinaceae,Pinus,×,rigitaeda,,,S.K.Hyun & Ahn,kew-2575982,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Pinus maestrensis,Pinus,,maestrensis,NA,NA,,,kew-2561771,TRUE,1.1,Synonym,Pinaceae,Pinus,,cubensis,,,Griseb.,kew-2561885,Accepted,TRUE,FALSE,FALSE,2020-01-06
Pinus brutia subsp. brutia,Pinus,,brutia,NA,subsp.,brutia,,kew-2563202,TRUE,1.1,Accepted,Pinaceae,Pinus,,brutia,,,Ten.,kew-2563202,Accepted,FALSE,FALSE,TRUE,2020-01-06
Pinus nigra var. nigra,Pinus,,nigra,NA,var.,nigra,,tro-24900841,TRUE,1.1,Synonym,Pinaceae,Pinus,,nigra,,,J.F.Arnold,kew-2562349,Accepted,FALSE,FALSE,FALSE,2020-01-06
Pinus mugo subsp. mugo,Pinus,,mugo,NA,subsp.,mugo,,kew-2562441,TRUE,1.1,Accepted,Pinaceae,Pinus,,mugo,,,Turra,kew-2562441,Accepted,TRUE,FALSE,TRUE,2020-01-06
Pinus mugo subsp. uncinata,Pinus,,mugo,NA,subsp.,uncinata,,kew-2872234,TRUE,1.1,Synonym,Pinaceae,Pinus,,uncinata,,,Ramond ex DC.,kew-2562206,Accepted,FALSE,FALSE,FALSE,2020-01-06
Pinus sylvestris var. mongolica,Pinus,,sylvestris,NA,var.,mongolica,,kew-2872522,TRUE,1.1,Accepted,Pinaceae,Pinus,,sylvestris,var.,mongholica,Litv.,kew-2872522,Accepted,TRUE,FALSE,FALSE,2020-01-06
Pinus contorta subsp. contorta,Pinus,,contorta,NA,subsp.,contorta,,tro-24900627,TRUE,1.1,Synonym,Pinaceae,Pinus,,contorta,,,Douglas ex Loudon,kew-2561967,Accepted,FALSE,FALSE,FALSE,2020-01-06
