Order,Family,Genus,Species_Count
Ephedrales,Ephedraceae,Ephedra,79
Gnetales,Gnetaceae,Gnetum,64
Welwitschiales,Welwitschiaceae,Welwitschia,1
Ginkgoales,Ginkgoaceae,Ginkgo,1
Cycadales,Cycadaceae,Bowenia,2
Cycadales,Cycadaceae,Cycas,119
Cycadales,Zamiaceae,Lepidozamia,3
Cycadales,Zamiaceae,Microcycas,1
Cycadales,Zamiaceae,Macrozamia,48
Cycadales,Zamiaceae,Dioon,19
Cycadales,Zamiaceae,Ceratozamia,37
Cycadales,Zamiaceae,Stangeria,2
Cycadales,Zamiaceae,Zamia,81
Cycadales,Zamiaceae,Encephalartos,77
Pinales,Pinaceae,Nothotsuga,1
Pinales,Pinaceae,Cathaya,1
Pinales,Pinaceae,Tsuga,10
Pinales,Pinaceae,Pseudotsuga,6
Pinales,Pinaceae,Pseudolarix,2
Pinales,Pinaceae,Pinus,145
Pinales,Pinaceae,Picea,51
Pinales,Pinaceae,Larix,21
Pinales,Pinaceae,Keteleeria,5
Pinales,Pinaceae,Cedrus,5
Pinales,Pinaceae,Abies,56
Cupressales,Sciadopityaceae,Sciadopitys,1
Cupressales,Taxaceae,Pseudotaxus,1
Cupressales,Taxaceae,Austrotaxus,1
Cupressales,Taxaceae,Torreya,8
Cupressales,Taxaceae,Cephalotaxus,12
Cupressales,Taxaceae,Taxus,23
Cupressales,Taxaceae,Amentotaxus,11
Cupressales,Cupressaceae,x_Hesperotropsis,2
Cupressales,Cupressaceae,Hesperocyparis,16
Cupressales,Cupressaceae,Callitropsis,3
Cupressales,Cupressaceae,Pilgerodendron,1
Cupressales,Cupressaceae,Papuacedrus,1
Cupressales,Cupressaceae,Fitzroya,1
Cupressales,Cupressaceae,Austrocedrus,1
Cupressales,Cupressaceae,Actinostrobus,3
Cupressales,Cupressaceae,Sequoiadendron,1
Cupressales,Cupressaceae,Neocallitropsis,1
Cupressales,Cupressaceae,Taiwania,2
Cupressales,Cupressaceae,Sequoia,1
Cupressales,Cupressaceae,Glyptostrobus,1
Cupressales,Cupressaceae,Cunninghamia,2
Cupressales,Cupressaceae,Athrotaxis,3
Cupressales,Cupressaceae,Widdringtonia,4
Cupressales,Cupressaceae,Thujopsis,1
Cupressales,Cupressaceae,Tetraclinis,3
Cupressales,Cupressaceae,Platycladus,2
Cupressales,Cupressaceae,Microbiota,1
Cupressales,Cupressaceae,Libocedrus,6
Cupressales,Cupressaceae,Diselma,1
Cupressales,Cupressaceae,Cupressus,17
Cupressales,Cupressaceae,Chamaecyparis,6
Cupressales,Cupressaceae,Calocedrus,3
Cupressales,Cupressaceae,Callitris,23
Cupressales,Cupressaceae,Taxodium,3
Cupressales,Cupressaceae,Juniperus,68
Cupressales,Cupressaceae,Metasequoia,1
Cupressales,Cupressaceae,Cryptomeria,1
Cupressales,Cupressaceae,Thuja,5
Araucariales,Araucariaceae,Wollemia,1
Araucariales,Araucariaceae,Agathis,22
Araucariales,Araucariaceae,Araucaria,23
Araucariales,Podocarpaceae,Pherosphaera,2
Araucariales,Podocarpaceae,Manoao,1
Araucariales,Podocarpaceae,Sundacarpus,1
Araucariales,Podocarpaceae,Lepidothamnus,4
Araucariales,Podocarpaceae,Halocarpus,3
Araucariales,Podocarpaceae,Afrocarpus,6
Araucariales,Podocarpaceae,Retrophyllum,5
Araucariales,Podocarpaceae,Falcatifolium,4
Araucariales,Podocarpaceae,Acmopyle,2
Araucariales,Podocarpaceae,Saxegothaea,1
Araucariales,Podocarpaceae,Prumnopitys,8
Araucariales,Podocarpaceae,Parasitaxus,1
Araucariales,Podocarpaceae,Microstrobos,1
Araucariales,Podocarpaceae,Microcachrys,1
Araucariales,Podocarpaceae,Lagarostrobos,1
Araucariales,Podocarpaceae,Dacrydium,16
Araucariales,Podocarpaceae,Phyllocladus,5
Araucariales,Podocarpaceae,Dacrycarpus,8
Araucariales,Podocarpaceae,Nageia,7
Araucariales,Podocarpaceae,Podocarpus,101
Trochodendrales,Trochodendraceae,Tetracentron,1
Trochodendrales,Trochodendraceae,Trochodendron,1
Buxales,Buxaceae,Haptanthus,1
Buxales,Buxaceae,Notobuxus,2
Buxales,Buxaceae,Sarcococca,14
Buxales,Buxaceae,Styloceras,6
Buxales,Buxaceae,Didymeles,4
Buxales,Buxaceae,Pachysandra,5
Buxales,Buxaceae,Buxus,89
Chloranthales,Chloranthaceae,Ascarina,14
Chloranthales,Chloranthaceae,Sarcandra,5
Chloranthales,Chloranthaceae,Hedyosmum,38
Chloranthales,Chloranthaceae,Chloranthus,14
Proteales,Sabiaceae,Ophiocaryon,5
Proteales,Sabiaceae,Meliosma,70
Proteales,Sabiaceae,Sabia,18
Proteales,Nelumbonaceae,Nelumbo,4
Proteales,Platanaceae,Platanus,12
Proteales,Proteaceae,Nothorites,1
Proteales,Proteaceae,Lasjia,4
Proteales,Proteaceae,Virotia,2
Proteales,Proteaceae,Turrillia,1
Proteales,Proteaceae,Strangea,2
Proteales,Proteaceae,Sleumerodendron,1
Proteales,Proteaceae,Megahertzia,1
Proteales,Proteaceae,Kermadecia,3
Proteales,Proteaceae,Heliciopsis,3
Proteales,Proteaceae,Finschia,1
Proteales,Proteaceae,Eucarpha,1
Proteales,Proteaceae,Catalepidia,1
Proteales,Proteaceae,Bleasdalea,1
Proteales,Proteaceae,Beaupreopsis,1
Proteales,Proteaceae,Acidonia,1
Proteales,Proteaceae,Malagasia,1
Proteales,Proteaceae,Hicksbeachia,2
Proteales,Proteaceae,Garnieria,1
Proteales,Proteaceae,Darlingia,2
Proteales,Proteaceae,Athertonia,1
Proteales,Proteaceae,Dilobeia,1
Proteales,Proteaceae,Oreocallis,2
Proteales,Proteaceae,Vexatorella,2
Proteales,Proteaceae,Spatalla,8
Proteales,Proteaceae,Sorocephalus,4
Proteales,Proteaceae,Serruria,12
Proteales,Proteaceae,Paranomus,7
Proteales,Proteaceae,Mimetes,8
Proteales,Proteaceae,Leucospermum,47
Proteales,Proteaceae,Faurea,6
Proteales,Proteaceae,Diastella,4
Proteales,Proteaceae,Floydia,1
Proteales,Proteaceae,Eidothea,2
Proteales,Proteaceae,Alloxylon,3
Proteales,Proteaceae,Symphionema,1
Proteales,Proteaceae,Triunia,4
Proteales,Proteaceae,Toronia,1
Proteales,Proteaceae,Synaphea,5
Proteales,Proteaceae,Stirlingia,3
Proteales,Proteaceae,Sphalmium,1
Proteales,Proteaceae,Panopsis,7
Proteales,Proteaceae,Orites,4
Proteales,Proteaceae,Opisthiolepis,1
Proteales,Proteaceae,Neorites,1
Proteales,Proteaceae,Musgravea,1
Proteales,Proteaceae,Hollandaea,2
Proteales,Proteaceae,Helicia,15
Proteales,Proteaceae,Grevillea,120
Proteales,Proteaceae,Franklandia,2
Proteales,Proteaceae,Euplassa,3
Proteales,Proteaceae,Conospermum,4
Proteales,Proteaceae,Cenarrhenes,1
Proteales,Proteaceae,Cardwellia,1
Proteales,Proteaceae,Buckinghamia,2
Proteales,Proteaceae,Beauprea,10
Proteales,Proteaceae,Banksia,158
Proteales,Proteaceae,Austromuellera,1
Proteales,Proteaceae,Aulax,2
Proteales,Proteaceae,Agastachys,1
Proteales,Proteaceae,Xylomelum,3
Proteales,Proteaceae,Telopea,6
Proteales,Proteaceae,Stenocarpus,6
Proteales,Proteaceae,Roupala,8
Proteales,Proteaceae,Petrophile,5
Proteales,Proteaceae,Persoonia,90
Proteales,Proteaceae,Lomatia,12
Proteales,Proteaceae,Leucadendron,84
Proteales,Proteaceae,Hakea,90
Proteales,Proteaceae,Gevuina,2
Proteales,Proteaceae,Embothrium,1
Proteales,Proteaceae,Carnarvonia,1
Proteales,Proteaceae,Brabejum,1
Proteales,Proteaceae,Bellendena,1
Proteales,Proteaceae,Placospermum,1
Proteales,Proteaceae,Orothamnus,1
Proteales,Proteaceae,Knightia,1
Proteales,Proteaceae,Lambertia,4
Proteales,Proteaceae,Isopogon,7
Proteales,Proteaceae,Adenanthos,6
Proteales,Proteaceae,Protea,92
Proteales,Proteaceae,Macadamia,5
Canellales,Canellaceae,Pleodendron,3
Canellales,Canellaceae,Capsicodendron,1
Canellales,Canellaceae,Cinnamosma,15
Canellales,Canellaceae,Warburgia,44
Canellales,Canellaceae,Cinnamodendron,14
Canellales,Canellaceae,Canella,2
Canellales,Winteraceae,Bubbia,6
Canellales,Winteraceae,Exospermum,1
Canellales,Winteraceae,Takhtajania,1
Canellales,Winteraceae,Pseudowintera,4
Canellales,Winteraceae,Zygogynum,14
Canellales,Winteraceae,Tasmannia,9
Canellales,Winteraceae,Drimys,8
Piperales,Saururaceae,Gymnotheca,2
Piperales,Saururaceae,Anemopsis,1
Piperales,Saururaceae,Houttuynia,1
Piperales,Saururaceae,Saururus,2
Piperales,Piperaceae,Verhuellia,2
Piperales,Piperaceae,Manekia,5
Piperales,Piperaceae,Macropiper,6
Piperales,Piperaceae,Zippelia,1
Piperales,Piperaceae,Piper,560
Piperales,Piperaceae,Peperomia,361
Piperales,Aristolochiaceae,Pararistolochia,6
Piperales,Aristolochiaceae,Holostylis,1
Piperales,Aristolochiaceae,Thottea,24
Piperales,Aristolochiaceae,Hydnora,4
Piperales,Aristolochiaceae,Prosopanche,1
Piperales,Aristolochiaceae,Lactoris,1
Piperales,Aristolochiaceae,Asarum,121
Piperales,Aristolochiaceae,Saruma,1
Piperales,Aristolochiaceae,Aristolochia,220
Laurales,Siparunaceae,Siparuna,26
Laurales,Siparunaceae,Glossocalyx,2
Laurales,Atherospermataceae,Atherosperma,1
Laurales,Atherospermataceae,Nemuaron,1
Laurales,Atherospermataceae,Dryadodaphne,3
Laurales,Atherospermataceae,Daphnandra,5
Laurales,Atherospermataceae,Laureliopsis,1
Laurales,Atherospermataceae,Laurelia,2
Laurales,Atherospermataceae,Doryphora,2
Laurales,Gomortegaceae,Gomortega,2
Laurales,Monimiaceae,Matthaea,1
Laurales,Monimiaceae,Macrotorus,1
Laurales,Monimiaceae,Levieria,1
Laurales,Monimiaceae,Kibaropsis,1
Laurales,Monimiaceae,Hemmantia,1
Laurales,Monimiaceae,Grazielanthus,1
Laurales,Monimiaceae,Ephippiandra,1
Laurales,Monimiaceae,Decarydendron,1
Laurales,Monimiaceae,Austromatthaea,2
Laurales,Monimiaceae,Macropeplus,2
Laurales,Monimiaceae,Faika,1
Laurales,Monimiaceae,Steganthera,9
Laurales,Monimiaceae,Palmeria,5
Laurales,Monimiaceae,Monimia,3
