Order,Family,Genus,scientificName,Authority,NCBI_id
Ephedrales,Ephedraceae,Ephedra,Ephedra sp.,NA,2212463
Ephedrales,Ephedraceae,Ephedra,Ephedra sp.,NA,2201909
Ephedrales,Ephedraceae,Ephedra,Ephedra sp.,NA,980633
Ephedrales,Ephedraceae,Ephedra,Ephedra sp.,NA,698665
Ephedrales,Ephedraceae,Ephedra,Ephedra sp.,NA,555516
Ephedrales,Ephedraceae,Ephedra,Ephedra sp.,NA,425399
Ephedrales,Ephedraceae,Ephedra,Ephedra sp.,NA,425398
Ephedrales,Ephedraceae,Ephedra,Ephedra sp.,NA,267973
Ephedrales,Ephedraceae,Ephedra,Ephedra sp.,NA,267971
Ephedrales,Ephedraceae,Ephedra,Ephedra sp.,NA,242986
Ephedrales,Ephedraceae,Ephedra,Ephedra sp.,NA,191320
Ephedrales,Ephedraceae,Ephedra,Ephedra sp.,NA,191319
Ephedrales,Ephedraceae,Ephedra,Ephedra sp.,NA,191318
Ephedrales,Ephedraceae,Ephedra,Ephedra sp.,NA,173368
Ephedrales,Ephedraceae,Ephedra,Ephedra sp.,NA,173367
Ephedrales,Ephedraceae,Ephedra,Ephedra sp.,NA,41991
Ephedrales,Ephedraceae,Ephedra,Ephedra intermedia var. tibetica,Stapf,1303468
Ephedrales,Ephedraceae,Ephedra,Ephedra equisetifolia,NA,49760
Ephedrales,Ephedraceae,Ephedra,Ephedra saxatilis var. mairei,NA,1303470
Ephedrales,Ephedraceae,Ephedra,Ephedra saxatilis var. sikkimensis,(Stapf)_Florin,289428
Ephedrales,Ephedraceae,Ephedra,Ephedra major subsp. major,NA,288837
Ephedrales,Ephedraceae,Ephedra,Ephedra sinica var. pumila,NA,289844
Ephedrales,Ephedraceae,Ephedra,Ephedra altissima var. algerica,Stapf,289429
Ephedrales,Ephedraceae,Ephedra,Ephedra tweediana,NA,3390
Gnetales,Gnetaceae,Gnetum,Gnetum sp.,NA,2048629
Gnetales,Gnetaceae,Gnetum,Gnetum sp.,NA,225695
Gnetales,Gnetaceae,Gnetum,Gnetum sp.,NA,225601
Gnetales,Gnetaceae,Gnetum,Gnetum sp.,NA,225600
Cycadales,Cycadaceae,Epicycas,Cycas sp.,NA,257878
Cycadales,Cycadaceae,Epicycas,Cycas sp.,NA,257876
Cycadales,Cycadaceae,Epicycas,Cycas longipetiolula,NA,2004566
Cycadales,Cycadaceae,Epicycas,Cycas lanepoolei,NA,2004563
